date,COL,NG,NUC,OIL,OTH,SUN,WAT,WND
2019-06-30,2986059,4603717,2452071,28354,184618,214977,808143,589195
2019-07-01,3072096,4971398,2459284,31151,188069,253058,859719,642976
2019-07-02,3268777,5279512,2456263,30313,211695,253392,849484,747366
2019-07-03,3222566,5243272,2455965,32424,220892,248640,863540,714315
2019-07-04,2963188,4745291,2454028,32078,213660,238960,804903,781474
2019-07-05,2980607,4903571,2452876,31441,217054,241640,819019,722730
2019-07-06,3008411,4929943,2450769,35555,211326,234885,810246,605844
2019-07-07,2992571,4697041,2445717,29177,200785,208431,774414,463094
2019-07-08,3096422,4926188,2453063,29734,199944,229423,818580,612674
2019-07-09,3079817,5101797,2456619,33007,210513,236794,835327,748085
2019-07-10,3250277,5637781,2453730,33625,218194,244187,841314,634195
2019-07-11,3333352,5683030,2452869,34495,216593,231662,849869,517971
2019-07-12,3317964,5586722,2456398,33238,213433,219546,875555,355504
2019-07-13,3252777,5173856,2447902,30309,194991,218700,820055,394426
2019-07-14,3241538,5029247,2443022,24064,204017,236887,769478,410964
2019-07-15,3431656,5368156,2447686,31470,211803,250772,807879,542242
2019-07-16,3530586,5534156,2448177,31151,230823,248034,841310,674770
2019-07-17,3495622,5676450,2444818,52169,229662,244981,850849,941168
2019-07-18,3385600,5462181,2445663,51432,232064,241945,853426,1061761
2019-07-19,3500983,5472342,2427680,43918,240997,238814,869906,1153280
2019-07-20,3404858,5331778,2405475,58723,239323,249167,808114,1113894
2019-07-21,3292613,5270385,2392520,51793,238150,247483,782479,721838
2019-07-22,3320859,5378904,2391724,37893,225685,207518,842864,663722
2019-07-23,3153729,5023334,2396713,31962,198955,170798,858716,475453
2019-07-24,3025889,4908665,2395974,31370,199165,201771,807113,414747
2019-07-25,2877079,4866511,2420107,27652,210877,189710,852769,673687
2019-07-26,2879226,4968054,2438765,31464,205613,219357,889269,759218
2019-07-27,2848781,4870786,2442626,37255,196853,243054,787744,822948
2019-07-28,2853402,4914572,2401453,38854,203290,232638,769889,936564
2019-07-29,3149226,5658146,2402816,45964,209785,233687,848139,748713
2019-07-30,3216332,5828489,2421105,48350,219883,224798,858430,535014
2019-07-31,3039466,5619736,2423771,45120,222683,208363,876299,632469
2019-08-01,3003029,5441024,2405607,32317,235046,227081,859329,606035
2019-08-02,2918563,5380484,2415704,32373,225073,223906,842573,633554
2019-08-03,2885875,5255712,2397426,32104,210083,220699,787423,417754
2019-08-04,2863873,5352518,2358018,35142,212789,216402,732478,259191
2019-08-05,3031206,5768062,2361888,47021,232503,213435,790673,384186
2019-08-06,3175873,5885604,2385455,58434,247867,187605,834032,420429
2019-08-07,3186793,5771485,2405815,50651,240346,186808,840414,582942
2019-08-08,3188699,5491461,2437454,40888,231054,222928,809486,686001
2019-08-09,3159335,5460162,2458682,31085,229731,232460,795874,571104
2019-08-10,2939147,4988973,2464748,30601,217620,223967,717612,606164
2019-08-11,2811559,4758514,2442743,30781,213298,234917,672820,698405
2019-08-12,3111758,5481244,2419918,33669,226806,238002,755040,633670
2019-08-13,3386716,5885517,2410067,33796,229901,228769,821008,453313
2019-08-14,3291466,5789304,2414165,32531,234392,225560,809345,454504
2019-08-15,3250630,5617112,2440733,34267,229468,223144,777236,413826
2019-08-16,3123135,5388963,2430643,31123,232455,227431,749958,699826
2019-08-17,3012074,5026676,2381767,30628,220342,224193,679256,861381
2019-08-18,2945168,4990154,2380235,31189,225783,227863,674191,851815
2019-08-19,3269982,5705151,2382293,34941,227627,228172,747805,665138
2019-08-20,3357553,5742870,2360757,41652,233866,233363,804685,682805
2019-08-21,3286853,5663660,2436564,46092,235537,231952,785492,657345
2019-08-22,3228279,5632355,2446046,33973,246840,223164,787264,577953
2019-08-23,2884877,5289222,2450327,31043,218115,221978,772005,585980
2019-08-24,2417150,4636181,2449796,26987,208157,207768,663237,675945
2019-08-25,2254787,4274451,2447690,28084,201636,204238,633493,771009
2019-08-26,2525431,4770579,2437278,28856,206137,210726,699889,806671
2019-08-27,2658720,4881112,2415290,29346,214034,208675,730470,861769
2019-08-28,2720802,5116590,2407658,36046,216676,213585,792394,589890
2019-08-29,2615218,5021944,2414629,23744,220770,236253,778317,830355
2019-08-30,2701665,5005057,2426059,21181,218100,236700,768675,710897
2019-08-31,2447440,4688917,2426470,18215,208667,230601,684991,487387
2019-09-01,2421769,4659266,2407903,28185,181558,214818,670976,382847
2019-09-02,2551958,4786865,2415337,29368,172316,194583,697571,503440
2019-09-03,2755760,5169694,2415774,32617,185919,210655,762570,738520
2019-09-04,2986876,5508935,2420712,32719,193110,198865,749235,604492
2019-09-05,2897902,5364196,2402569,32317,183220,168629,742712,600623
2019-09-06,2856901,5197924,2380026,30869,173830,200824,716514,536433
2019-09-07,2694502,4752970,2353065,29180,172301,218792,648053,539850
2019-09-08,2584530,4348522,2320315,16587,175196,218437,566820,786777
2019-09-09,2760863,4672740,2324302,30672,193411,204313,633624,989951
2019-09-10,2968236,4869921,2338598,30521,199785,210656,664721,1014199
2019-09-11,3055405,5060445,2359429,38004,213535,213070,671336,1003124
2019-09-12,3057649,5154402,2357951,41378,220600,222835,689806,903159
2019-09-13,3040693,4958150,2359918,30428,209727,203108,670921,701882
2019-09-14,2691677,4483457,2297364,25392,200301,206657,632748,703894
2019-09-15,2697615,4416074,2312115,25707,198535,194884,608249,655922
2019-09-16,3006484,4930773,2304321,27915,208858,181256,669241,714507
2019-09-17,2976934,4756916,2316173,27329,204134,213509,621842,888462
