Date,biomass,coal,gas,gas_cc,hydro,nuclear,other,solar,wsl,wind,gas_total,total,co2_coal,co2_gas,co2_gas_cc,co2_biomass,co2_other,co2_nuclear,co2_hydro,co2_wind,co2_solar,co2_total,intensity
2025-02-12,292.693154,195079.840168,72937.583102,571278.659,1574.089718,121287.862991,11655.478366,62858.208874,-15984.135481,230371.345999,644216.2421019999,1267335.761372,185325.8481596,40115.670706100005,211373.10382999998,0.0,7576.0609379,0.0,0.0,0.0,0.0,444390.68363359995,0.3506495257046237
2025-02-13,278.607046,182885.324466,140842.365221,557098.510079,1568.954462,121670.393295,14507.666088,127137.911448,-14482.368929,261120.004699,697940.8753,1407109.736804,173741.05824269998,77463.30087155,206126.44872923,0.0,9429.9829572,0.0,0.0,0.0,0.0,466760.79080068,0.3317159839010455
2025-02-14,344.521209,182052.504566,56399.964829,435135.314251,1017.640207,122154.11011,6630.823413,82720.504719,-12050.004826,432070.203354,491535.27908,1318525.586658,172949.87933769997,31019.98065595,161000.06627287,0.0,4310.03521845,0.0,0.0,0.0,0.0,369279.96148496994,0.2800703795373172
2025-02-15,357.012591,182569.859803,26304.381697,264912.256833,401.651887,122280.304782,14284.425211,83611.676562,-13808.592787,458806.561144,291216.63853,1153528.13051,173441.36681285,14467.409933350002,98017.53502821,0.0,9284.87638715,0.0,0.0,0.0,0.0,295211.18816156,0.2559202331988563
2025-02-16,352.04455,172735.220283,50882.632634,344390.961575,690.946692,122230.876436,12126.835134,206417.727263,-13924.566398,341425.285523,395273.594209,1251252.5300900002,164098.45926884998,27985.447948700003,127424.65578275001,0.0,7882.4428371,0.0,0.0,0.0,0.0,327391.0058374,0.2616506244457714
2025-02-17,350.263719,153505.58763,42939.515694,297983.350069,407.700742,122234.427838,10045.382299,150254.890325,-16385.257957,522906.582619,340922.865763,1300627.700935,145830.3082485,23616.733631700004,110253.83952552998,0.0,6529.49849435,0.0,0.0,0.0,0.0,286230.37990008,0.2200709547354048
2025-02-18,1008.529285,193256.247154,57667.30153,360465.365414,302.310108,122306.65098,9708.43539,67754.537361,-9553.709433,479983.492071,418132.666944,1292452.869293,183593.4347963,31717.0158415,133372.18520318,0.0,6310.4830035,0.0,0.0,0.0,0.0,354993.11884447996,0.27466620043071205
2025-02-19,2346.524192,254140.38527,255309.847508,608192.40531,1294.34616,122193.989159,15277.351571,95039.597656,-19967.065189,396624.14746,863502.2528179999,1750418.594286,241433.3660065,140420.41612940002,225031.18996469997,0.0,9930.27852115,0.0,0.0,0.0,0.0,616815.2506217499,0.35238156897741957
2025-02-20,2351.637386,256494.958169,290330.090799,668983.74087,2705.24716,122389.717346,14210.924915,184345.280724,-17071.788084,183012.229601,959313.831669,1724823.82697,243670.21026054997,159681.54993945002,247523.9841219,0.0,9237.10119475,0.0,0.0,0.0,0.0,660112.84551665,0.3827131995713852
2025-02-21,2462.802097,241655.14714,281936.016013,713036.118941,2128.37496,122435.886717,15677.862487,101496.42822,-16814.397124,163533.741128,994972.134954,1644362.3777029996,229572.38978299996,155064.80880715,263823.36400816997,0.0,10190.61061655,0.0,0.0,0.0,0.0,658651.1732148699,0.4005511085305515
2025-02-22,1810.678772,209453.72963,172352.836679,642972.52836,529.589049,122556.135677,15766.248402,137352.375719,-13757.000784,155761.218825,815325.365039,1458555.341113,198981.04314849997,94794.06017345001,237899.8354932,0.0,10248.0614613,0.0,0.0,0.0,0.0,541923.00027645,0.37154778087673884
2025-02-23,1482.157071,177937.153288,86693.262985,532051.967268,250.658951,122590.136428,12057.328545,169401.541887,-17140.153665,128333.805534,618745.230253,1230798.011957,169040.2956236,47681.29464175,196859.22788916,0.0,7837.26355425,0.0,0.0,0.0,0.0,421418.08170876,0.3423941845979216
2025-02-24,929.44721,153262.488731,64905.915749,423478.902536,256.127619,122579.347488,17599.636957,193586.458628,-21529.829088,204972.511821,488384.818285,1181570.836739,145599.36429444997,35698.25366195,156687.19393832,0.0,11439.76402205,0.0,0.0,0.0,0.0,349424.57591677,0.2957288425306279
2025-02-25,222.92479,127537.950365,40894.688683,344269.411975,275.93858,122496.334907,14054.691221,205183.688205,-16007.043556,267661.33348,385164.100658,1122596.962206,121161.05284675,22492.078775650003,127379.68243074999,0.0,9135.54929365,0.0,0.0,0.0,0.0,280168.36334680003,0.24957163860148437
2025-02-26,193.413724,114914.254519,19905.557202,191332.406187,325.164395,122518.704142,11132.197097,147336.167728,-16150.19718,511390.447949,211237.963389,1119048.312943,109168.54179304998,10948.0564611,70792.99028919,0.0,7235.92811305,0.0,0.0,0.0,0.0,198145.51665638998,0.17706609657923028
2025-02-27,247.165985,135872.866183,57715.875896,317992.141759,388.016715,122365.518951,16412.004831,164353.67056,-12973.55915,277726.949332,375708.017655,1093074.2102120002,129079.22287385,31743.731742800002,117657.09245083001,0.0,10667.80314015,0.0,0.0,0.0,0.0,289147.85020763,0.26452719084054704
2025-02-28,304.409911,153141.507693,77789.889316,355804.239203,410.561481,122196.538245,14548.800478,219299.061402,-19539.213703,171325.38404,433594.128519,1114820.391769,145484.43230835,42784.4391238,131647.56850511,0.0,9456.7203107,0.0,0.0,0.0,0.0,329373.16024796,0.29544952952045467
2025-03-01,325.268162,119593.43266,95268.484535,316660.470999,414.817168,122075.625468,15066.432125,219352.470089,-17238.733049,189015.925027,411928.955534,1077772.926233,113613.761027,52397.66649425,117164.37426963,0.0,9793.18088125,0.0,0.0,0.0,0.0,292968.98267213005,0.27182811475521707
2025-03-02,292.357364,89334.852016,52887.85209,152801.939076,429.347574,121900.460649,14199.700584,117446.841221,-15981.584753,516156.866057,205689.791166,1065450.2166310002,84868.1094152,29088.3186495,56536.71745812,0.0,9229.8053796,0.0,0.0,0.0,0.0,179722.95090242,0.1686826358445088
2025-03-03,239.018026,108629.643921,43071.770402,238556.808813,409.092443,121948.575855,12087.216394,79953.149484,-18713.020766,541997.715044,281628.57921500003,1146892.990382,103198.16172495,23689.473721100003,88266.01926081,0.0,7856.6906561,0.0,0.0,0.0,0.0,223010.34536296,0.19444738718708285
2025-03-04,251.465535,84061.05885,28606.34028,198001.347853,446.421786,121976.83483,12464.641136,106531.65019,-14079.012405,556834.4447,226607.688133,1109174.20516,79858.0059075,15733.487154000002,73260.49870561,0.0,8102.016738400001,0.0,0.0,0.0,0.0,176954.00850551002,0.15953671450553086
2025-03-05,198.460368,88294.823488,69699.689211,304322.365687,415.315842,122075.416978,15524.458431,220144.027064,-15078.465036,282036.612789,374022.054898,1102711.1698579998,83880.0823136,38334.829066050006,112599.27530419,0.0,10090.897980149999,0.0,0.0,0.0,0.0,244905.08466399,0.2220935920106145
2025-03-06,228.490583,88717.640281,19543.650212,183029.004363,463.842957,122143.955747,10827.537937,108025.197673,-17013.168912,611194.046938,202572.654575,1144173.3666909998,84281.75826695,10749.007616600002,67720.73161430999,0.0,7037.89965905,0.0,0.0,0.0,0.0,169789.39715690998,0.14839481681692038
2025-03-07,320.842419,130793.260421,73957.087438,275058.391671,371.531396,122115.505012,15345.270762,165215.461753,-18198.729576,350059.886268,349015.479109,1133237.23714,124253.59739995,40676.3980909,101771.60491827,0.0,9974.4259953,0.0,0.0,0.0,0.0,276676.02640442,0.24414660702703278
2025-03-08,276.710442,135565.133967,47746.906527,271965.799477,397.988073,121585.337727,9039.833706,101574.781596,-10900.433343,450298.684512,319712.70600400004,1138451.1760270002,128786.87726865,26260.79858985,100627.34580649,0.0,5875.8919089,0.0,0.0,0.0,0.0,261550.91357389,0.22974275847881148
2025-03-09,241.647779,135060.918771,93988.960015,289045.251705,368.900257,116973.946255,13416.779912,150059.246964,-12885.213843,266254.138458,383034.21172,1065409.790116,128307.87283245,51693.928008250004,106946.74313085,0.0,8720.9069428,0.0,0.0,0.0,0.0,295669.45091434993,0.27751711468894796
2025-03-10,184.473811,131238.846637,104070.754713,299486.429502,440.278937,122134.213004,16087.350067,233488.30302,-18949.295443,235990.361729,403557.184215,1143121.0114199996,124676.90430515,57238.915092150004,110809.97891574,0.0,10456.77754355,0.0,0.0,0.0,0.0,303182.57585659,0.26522351774461106
2025-03-11,162.040538,112127.037085,24380.969943,149809.816689,449.157026,122074.991217,15705.01211,193668.99935,-18901.1734,507121.318152,174190.786632,1125499.34211,106520.68523075,13409.533468650001,55429.63217493,0.0,10208.2578715,0.0,0.0,0.0,0.0,185568.10874583,0.1648762480819768
2025-03-12,169.142671,126582.716432,34980.730643,164682.287907,393.849428,122006.214536,14822.796056,163295.775602,-18110.655019,525339.876011,199663.01855,1152273.389286,120253.5806104,19239.401853650004,60932.44652558999,0.0,9634.8174364,0.0,0.0,0.0,0.0,210060.24642604002,0.18230070083993064
2025-03-13,150.798056,158389.314922,77525.093206,272141.342007,561.757909,121847.100604,15726.85043,179168.294077,-18702.490351,351393.301903,349666.435213,1176903.853114,150469.8491759,42638.8012633,100692.29654259,0.0,10222.452779500001,0.0,0.0,0.0,0.0,304023.39976129,0.25832475520992365
2025-03-14,134.21126,146056.712557,42262.526042,185896.902915,463.792941,121687.700576,10285.557267,147413.307176,-12804.304382,543878.533791,228159.42895700003,1198079.244525,138753.87692915,23244.3893231,68781.85407855001,0.0,6685.612223550001,0.0,0.0,0.0,0.0,237465.73255435002,0.1982053638267455
2025-03-15,82.890014,139685.888748,63859.277045,212245.866956,1019.056098,121730.762968,15663.212328,132477.410224,-16687.150371,393849.436854,276105.14400100004,1080613.801235,132701.5943106,35122.60237475001,78530.97077372001,0.0,10181.0880132,0.0,0.0,0.0,0.0,256536.25547227002,0.23739864804528932
2025-03-16,86.221718,136858.4895,90955.243196,269820.470345,1157.347819,121812.496101,13639.461399,224447.336816,-16279.264186,189547.504142,360775.713541,1048324.571036,130015.56502499999,50025.3837578,99833.57402764999,0.0,8865.64990935,0.0,0.0,0.0,0.0,288740.1727198,0.2754301298446667
2025-03-17,93.37721,120216.357295,36530.858844,159308.884809,539.215548,121723.206053,11462.625207,151410.885849,-17300.87434,530453.195562,195839.743653,1131738.606377,114205.53943024999,20091.972364200003,58944.28737933,0.0,7450.70638455,0.0,0.0,0.0,0.0,200692.50555832998,0.17733114734046296
2025-03-18,107.742486,132704.130927,31058.899132,140180.847265,506.524269,121738.346942,12273.77278,146384.972251,-13215.419486,568242.994354,171239.74639699998,1153198.230406,126068.92438064999,17082.3945226,51866.91348805,0.0,7977.952307,0.0,0.0,0.0,0.0,202996.18469829997,0.1760288728736882
2025-03-19,119.646593,127799.755352,42624.218559,173383.967371,1040.164035,121722.575624,10380.881186,140180.000254,-18270.718527,508232.498124,216008.18593,1125483.7070980002,121409.76758439999,23443.320207450004,64152.06792727,0.0,6747.5727709,0.0,0.0,0.0,0.0,215752.72849002,0.19169778036709828
2025-03-20,213.69445,134198.127174,65594.147874,266732.721826,1727.17518,121826.6702,16263.723412,253569.605405,-13638.637902,226434.928175,332326.86970000004,1086560.7936960002,127488.22081529998,36076.7813307,98691.10707562,0.0,10571.4202178,0.0,0.0,0.0,0.0,272827.52943942003,0.2510927423686816
2025-03-21,287.502939,130293.325394,32109.524624,195830.116306,921.360512,121303.627166,14372.999374,193890.528449,-17956.597675,425862.209368,227939.64093,1114871.194132,123778.6591243,17660.2385432,72457.14303322,0.0,9342.4495931,0.0,0.0,0.0,0.0,223238.49029382,0.20023702421303094
2025-03-22,316.371819,130732.981817,19340.07572,194579.712986,785.216759,121442.626234,12560.602081,174255.154357,-15557.612545,455886.659154,213919.788706,1109899.400927,124196.33272615,10637.041646000001,71994.49380482,0.0,8164.391352650001,0.0,0.0,0.0,0.0,214992.25952962,0.19370427567584605
2025-03-23,314.147415,163177.525946,45562.786282,234216.196013,951.812813,121727.341592,11679.739918,138010.485425,-13901.894962,436891.092868,279778.982295,1152531.1282720002,155018.6496487,25059.5324551,86659.99252481,0.0,7591.8309467,0.0,0.0,0.0,0.0,274330.00557531003,0.23802394472990535
2025-03-24,311.927056,160651.591959,112305.804515,350621.875083,1278.298431,121633.197344,16879.390192,235865.636065,-17640.445494,175258.257355,462927.679598,1174805.978,152619.01236105,61768.19248325,129730.09378071,0.0,10971.6036248,0.0,0.0,0.0,0.0,355088.90224981,0.30225323066053544
2025-03-25,326.957618,160930.00699,80319.418274,318857.121359,1335.539221,121479.689582,13757.758991,227020.373861,-19389.863818,306880.336546,399176.539633,1230907.202442,152883.50664049998,44175.6800507,117977.13490282999,0.0,8942.54334415,0.0,0.0,0.0,0.0,323978.86493817996,0.2632033221476302
2025-03-26,287.197594,165878.352793,47341.643045,287740.883706,980.265482,121322.507156,11718.692744,128675.385424,-16080.70742,432871.841968,335082.526751,1196816.7699119998,157584.43515335,26037.90367475,106464.12697122,0.0,7617.1502836,0.0,0.0,0.0,0.0,297703.61608292,0.24874619370917547
2025-03-27,312.280027,170595.732478,48343.094395,296404.27951,943.367019,121230.009769,12305.277001,118385.612998,-14459.0716,359591.509343,344747.37390500004,1128111.1625400002,162065.9458541,26588.70191725,109669.5834187,0.0,7998.43005065,0.0,0.0,0.0,0.0,306322.66124070005,0.2715358835303064
2025-03-28,332.638222,184421.775307,73723.008045,354712.928797,1012.176302,121464.037857,15528.83247,136952.242467,-16829.606481,240992.873029,428435.936842,1129140.5124960002,175200.68654165,40547.65442475,131243.78365489,0.0,10093.7411055,0.0,0.0,0.0,0.0,357085.86572679004,0.31624573007077805
2025-03-29,333.011996,160970.485899,48135.207924,241734.204975,771.508883,121412.441937,13649.076209,186302.917289,-12816.841892,414949.249878,289869.412899,1188258.10499,152921.96160404998,26474.364358200004,89441.65584075,0.0,8871.899535850001,0.0,0.0,0.0,0.0,277709.88133884995,0.23371175014302725
2025-03-30,330.303707,179397.538628,99037.68873,318938.977511,1078.520381,121150.678324,14293.437887,177080.217604,-18320.828973,279886.710316,417976.666241,1191194.0730879998,170427.6616966,54470.7288015,118007.42167907,0.0,9290.73462655,0.0,0.0,0.0,0.0,352196.54680372,0.2956668059056917
2025-03-31,305.846018,171520.883972,129094.167349,360757.884377,1152.307562,120225.119226,15227.15889,230866.305996,-17780.123975,175933.006731,489852.051726,1205082.6801210002,162944.8397734,71001.79204195,133480.41721949,0.0,9897.6532785,0.0,0.0,0.0,0.0,377324.70231334,0.3131110491733675
2025-04-01,302.123369,142135.250976,58904.668388,229681.020679,610.387694,119926.559715,11850.881587,101609.184242,-17267.972904,549629.889277,288585.689067,1214649.9659270002,135028.4884272,32397.567613400002,84981.97765123,0.0,7703.07303155,0.0,0.0,0.0,0.0,260111.10672338,0.21414490924952823
2025-04-02,283.866185,131167.464898,141109.840017,348761.941149,960.303354,120017.67804,15262.92078,137042.580412,-17036.28235,372959.522776,489871.78116600006,1267566.117611,124609.0916531,77610.41200935001,129041.91822513001,0.0,9920.898507,0.0,0.0,0.0,0.0,341182.32039458,0.2691633325112943
2025-04-03,285.947313,110100.338249,107686.708033,328037.125419,820.985547,120743.282996,6335.746552,123581.369888,-13403.755663,474037.25315,435723.833452,1271628.757147,104595.32133654998,59227.68941815,121373.73640503,0.0,4118.2352588,0.0,0.0,0.0,0.0,289314.98241853,0.2275152876124248
2025-04-04,323.885329,145874.643939,106795.148114,350559.953707,950.976804,120046.513378,12963.935819,75379.839505,-13370.431035,440913.274617,457355.101821,1253808.171212,138580.91174205,58737.3314627,129707.18287159,0.0,8426.55828235,0.0,0.0,0.0,0.0,335451.98435869004,0.2675464971921691
2025-04-05,365.45791,140856.182408,22789.558154,223216.196292,466.746843,120070.339476,4760.54577,52413.974244,-10162.368704,591587.446407,246005.754446,1156526.4475039998,133813.3732876,12534.2569847,82589.99262804,0.0,3094.3547505,0.0,0.0,0.0,0.0,232031.97765084,0.2006283368198007
2025-04-06,361.719021,122489.127559,71235.667461,246445.771976,747.190008,121096.716101,18252.313722,152342.758918,-12893.001027,384094.571447,317681.439437,1117065.836213,116364.67118105,39179.61710355001,91184.93563112,0.0,11864.0039193,0.0,0.0,0.0,0.0,258593.22783502002,0.23149327412221743
2025-04-07,353.388659,141982.865807,157177.802397,329833.509536,1167.175743,121312.945436,19748.464834,267334.897479,-21490.472356,89049.393512,487011.311933,1127960.4434029998,134883.72251664998,86447.79131835,122038.39852832,0.0,12836.5021421,0.0,0.0,0.0,0.0,356206.41450542,0.31579690279808326
2025-04-08,351.739063,130939.292432,60820.752936,246842.696569,726.83577,121393.289528,16437.869571,268994.160821,-21409.158279,282967.918736,307663.449505,1129474.5554260002,124392.32781039999,33451.4141148,91331.79773053,0.0,10684.61522115,0.0,0.0,0.0,0.0,259860.15487687997,0.23007172107464552
2025-04-09,363.870721,132003.622447,50248.389386,171903.387816,874.310379,121335.892405,13686.234168,226096.216948,-16026.067746,431155.795073,222151.777202,1147667.719343,125403.44132464999,27636.614162300004,63604.25349192,0.0,8896.052209200001,0.0,0.0,0.0,0.0,225540.36118806998,0.19652061078896949
2025-04-10,347.996384,165363.00268,88108.362709,294779.35832,783.073985,121215.412122,15728.993985,269270.310034,-18681.494401,243611.799885,382887.721029,1199208.310104,157094.852546,48459.59948995,109068.3625784,0.0,10223.84609025,0.0,0.0,0.0,0.0,324846.6607046,0.2708842641996268
2025-04-11,316.580427,190255.032321,82689.481597,293670.615985,1017.331527,121014.260599,16402.26114,269096.886631,-18199.510436,237408.614607,376360.097582,1211871.064834,180742.28070495,45479.21487835001,108658.12791444999,0.0,10661.469740999999,0.0,0.0,0.0,0.0,345541.09323875,0.2851302446816663
2025-04-12,331.734779,130049.296112,21133.335716,159965.63389,550.61561,120680.949534,10515.992763,186969.566181,-14802.585638,550813.637096,181098.969606,1181010.7616810002,123546.8313064,11623.334643800003,59187.284539299995,0.0,6835.39529595,0.0,0.0,0.0,0.0,201192.84578545,0.17035648811453732
2025-04-13,331.632279,129215.98834,38369.116635,167484.7451,1327.540156,120282.217578,10687.630902,203564.298925,-12938.995525,563970.288893,205853.861735,1235233.458808,122755.188923,21103.01414925,61969.355686999996,0.0,6946.9600863000005,0.0,0.0,0.0,0.0,212774.51884555002,0.17225449758370162
2025-04-14,325.776692,155853.972277,74991.784543,221225.379329,1425.606684,120510.959015,15319.994789,213275.465128,-16851.03736,487369.01121,296217.163872,1290297.9496669995,148061.27366315,41245.481498650006,81853.39035172999,0.0,9957.99661285,0.0,0.0,0.0,0.0,281118.14212638,0.21787071908386044
2025-04-15,321.573713,143748.50282,78576.79658,278394.843727,1781.457282,120653.289793,16799.458441,223276.541723,-19665.839984,334942.717452,356971.640307,1198495.181531,136561.07767899998,43217.238119,103006.09217899,0.0,10919.64798665,0.0,0.0,0.0,0.0,293704.05596364,0.24506068984645568
2025-04-16,331.805409,130206.128096,46525.661471,221376.7262,1160.60066,120746.309528,13916.268209,185423.45986,-17571.56623,514190.975881,267902.387671,1233877.935314,123695.82169119999,25589.113809050003,81909.388694,0.0,9045.57433585,0.0,0.0,0.0,0.0,240239.89853009998,0.19470313201521286
2025-04-17,330.250285,135442.353404,49483.913623,212468.557591,945.288654,120743.799142,12632.225433,205315.496752,-17031.266982,545241.756325,261952.471214,1282603.6412089998,128670.23573379999,27216.152492650002,78613.36630867,0.0,8210.94653145,0.0,0.0,0.0,0.0,242710.70106656998,0.18923281773766645
2025-04-18,323.357048,124902.45008,77991.718194,298837.97835,1078.760742,121141.816851,10548.560548,136518.132911,-12898.110358,522828.325698,376829.696544,1294171.1004219998,118657.327576,42895.44500670001,110570.05198949999,0.0,6856.5643562,0.0,0.0,0.0,0.0,278979.3889284,0.21556607842458478
2025-04-19,315.929743,121961.443869,91871.343005,307673.104096,1065.33772,121052.303791,9087.713724,116132.112793,-13092.842747,447903.099101,399544.447101,1217062.3878419998,115863.37167554999,50529.238652750006,113839.04851552001,0.0,5907.013920599999,0.0,0.0,0.0,0.0,286138.67276442,0.23510600247188543
2025-04-20,309.153147,134713.7718,135977.516204,336238.364268,1509.357021,103383.890241,17030.874536,194534.274496,-15171.99611,252825.154206,472215.880472,1176522.3559189998,127978.08320999998,74787.63391220002,124408.19477916,0.0,11070.0684484,0.0,0.0,0.0,0.0,338243.98034976004,0.28749473280136056
2025-04-21,314.552036,128317.527343,125244.332541,335881.943337,1315.518532,90745.680094,12237.306117,259112.876432,-16700.904748,264914.036251,461126.275878,1218083.772683,121901.65097584999,68884.38289755001,124276.31903469,0.0,7954.24897605,0.0,0.0,0.0,0.0,323016.60188414,0.26518422552551596
2025-04-22,314.390935,133433.40998,95410.414427,305390.520443,1689.34142,90577.180175,15805.682097,197129.882751,-16301.766378,453740.897186,400800.93487,1293491.719414,126761.739481,52475.72793485,112994.49256391001,0.0,10273.69336305,0.0,0.0,0.0,0.0,302505.65334281,0.23386748349642034
